"total_units","pct_occupied","number_reported","spending_per_month","pct_wage_major","pct_welfare_major","pct_2adults","pct_female_head","pct_female_head_child","pct_disabled_all","pct_minority","rent_per_month","hh_income","months_from_movein","year","name","total_vouchers","total_spend","spending_per_year"
2132256,94,1740126,576,32,11,16,83,53,17,63,295,11.9,62,2005,"U.S.  TENANT-BASED VOUCHERS",1740126,12027750912,6912
2415692,88,2166182,766,29,5,5,80,43,22,67,359,13446,110,2014,"U.S. Total,Housing Choice Vouchers",2166182,19911544944,9192
2447016,89,2230948,775,30,4,5,80,42,23,68,364,13821,109,2015,"U.S. Total,Housing Choice Vouchers",2230948,20747816400,9300
2474400,90,2265478,784,31,4,5,79,41,23,69,364,14122,110,2016,"U.S. Total,Housing Choice Vouchers",2265478,21313617024,9408
2489182,89,2264047,753,31,4,5,79,40,23,69,370,14454,112,2017,"U.S. Total,Housing Choice Vouchers",2264047,20457928692,9036
2527803,88,2276722,793,30,3,4,79,39,24,69,379,14863,116,2018,"U.S. Total,Housing Choice Vouchers",2276722,21665286552,9516
2556270,88,2299617,807,30,3,4,78,38,24,70,390,15373,122,2019,"U.S. Total,Housing Choice Vouchers",2299617,22269491028,9684
2624936,88,2313166,834,25,3,4,78,37,25,70,386,15202,125,2020,"U.S. Total,Housing Choice Vouchers",2313166,23150165328,10008
2669691,85,2327707,883,25,3,4,78,36,25,70,395,15577,125,2021,"U.S. Total,Housing Choice Vouchers",2327707,24664383372,10596
2718084,83,2350366,948,27,3,4,77,35,25,70,420,16610,129,2022,"U.S. Total,Housing Choice Vouchers",2350366,26737763616,11376
2752351,84,2404197,1068,28,4,3,77,35,26,70,450,17835,124,2023,"U.S. Total,Housing Choice Vouchers",2404197,30812188752,12816
2787090,84,2424876,1174,28,4,3,77,34,26,71,468,18558,126,2024,"U.S. Total,Housing Choice Vouchers",2424876,34161653088,14088
2797793,83,2387749,1255,27,4,3,76,33,26,71,493,19276,130,2025,"U.S. Total,Housing Choice Vouchers",2387749,35959499940,15060
